classification,postal_code,street_number,street_name,street_type
Non Residential,B3K 1V7,5841,BILBY,ST
Non Residential,B3P 1N3,7,MONT,ST
Non Residential,B3V 1H4,179,HEBRIDEAN,DR
Non Residential,B4C 2J3,30,MEMORY,LANE
Non Residential,B3J 1G3,5490,SPRING GARDEN,RD
Non Residential,B2Y 2T6,3,DUNDAS,ST
Non Residential,B4C 2S4,601,SACKVILLE,DR
Non Residential,B4A 1A4,793,BEDFORD,HWY
Non Residential,B2Y 1C2,58,OCHTERLONEY,ST
Non Residential,B3L 1A5,6310,QUINPOOL,RD
Non Residential,B3V 1H4,151,HEBRIDEAN,DR
Non Residential,B3B 1L5,71,ILSLEY,AVE
Non Residential,B2W 4X4,2,CHAMEAU,CRES
Non Residential,B3K 4T9,2307,CLIFTON,ST
Non Residential,B3H 1K8,5900,INGLIS,ST
Non Residential,B0J 1W0,136,BAKERS POINT,RD
Non Residential,B3M 0G2,81,PEAKVIEW,WAY
Non Residential,B2Y 1Z7,1,REGENCY,DR
Non Residential,B3A 1N1,219,WYSE,RD
Non Residential,B2Y 3S5,390,PLEASANT,ST
Non Residential,B3K 3B7,2285,GOTTINGEN,ST
Non Residential,B3J 2G9,1995,BRUNSWICK,ST
Non Residential,B3K 4N2,2499,ROBIE,ST
Non Residential,B3B 0C7,25,LOGIEALMOND,CL
Non Residential,B3R 1W5,477,HERRING COVE,RD
Non Residential,B3M 3W8,30,FARNHAM GATE,RD
Non Residential,B3T 1P4,862,PROSPECT,RD
Non Residential,B4B 0A7,50,MAJESTY,CRT
Non Residential,B3L 1A5,6324,QUINPOOL,RD
Non Residential,B3E 1H4,6,THIS,ST
Non Residential,B3S 1B8,10,LOVETT LAKE,CRT
Non Residential,B3M 2P1,70,LACEWOOD,DR
Non Residential,B3P 1M1,276,HERRING COVE,RD
Non Residential,B3K 5C8,2624,WINDSOR,ST
Non Residential,B2T 1K3,449,AEROTECH,DR
Non Residential,B3B 1B5,600,WINDMILL,RD
Non Residential,B2Y 3P1,7,PLEASANT,ST
Non Residential,B4C 2J1,35,MCGEE,DR
Non Residential,B3S 1A1,60,HORSESHOE LAKE,DR
Non Residential,B0J 3A0,201,TARMAC,RD
Non Residential,B3B 1L6,28,TOPPLE,DR
Non Residential,B3K 1Z7,5529,YOUNG,ST
Non Residential,B3L 2Y4,2592,ELM,ST
Non Residential,B3H 3A7,1796,SUMMER,ST
Non Residential,B4A 1A9,967,BEDFORD,HWY
Non Residential,B3J 3L7,1903,BARRINGTON,ST
Non Residential,B4E 1R7,752,SACKVILLE,DR
Non Residential,B3N 2N2,165,CORONATION,AVE
Non Residential,B3L 4H8,3711,JOSEPH HOWE,DR
Non Residential,B4C 2S3,622,SACKVILLE,DR
Non Residential,B3S 1A2,124,CHAIN LAKE,DR
Non Residential,B3J 3K5,1505,BARRINGTON,ST
Non Residential,B3J 1S9,1875,UPPER WATER,ST
Non Residential,B3H 2V9,989,YOUNG,AVE
Non Residential,B3J 3X7,1546,BARRINGTON,ST
Non Residential,B3G 1J3,1881,CALDWELL,RD
Non Residential,B2T 0C1,85,SELFRIDGE,WAY
Non Residential,B3J 3R6,1781,UPPER WATER,ST
Non Residential,B3A 4E8,25,ALFRED,ST
Non Residential,B3V 1E9,1,WEST PENNANT,RD
Non Residential,B3M 3Y7,287,LACEWOOD,DR
Non Residential,B4C 4B1,69,COLONEL JOSEPH SCOTT,DR
Non Residential,B3K 1C2,5514,CUNARD,ST
Non Residential,B3R 1X3,519,HERRING COVE,RD
Non Residential,B3H 1K8,5940,INGLIS,ST
Non Residential,B3B 0J2,51,GARLAND,AVE
Non Residential,B3J 1B6,5247,MORRIS,ST
Non Residential,B3H 1J5,5368,INGLIS,ST
Non Residential,B2W 6C4,644,PORTLAND,ST
Non Residential,B3L 1L4,6470,CHEBUCTO,RD
Non Residential,B2Y 3H6,9,BRAEMAR,DR
Non Residential,B3B 1P9,10,VIDITO,DR
Non Residential,B3H 1W5,6050,UNIVERSITY,AVE
Non Residential,B3T 1P9,1760,PROSPECT,RD
Non Residential,B3L 4W7,7010,MUMFORD,RD
Non Residential,B4A 2L1,10,DARTMOUTH,RD
Non Residential,B3M 3P6,280,LACEWOOD,DR
Non Residential,B3B 1J7,35,AKERLEY,BLVD
Non Residential,B3H 1T8,6230,SOUTH,ST
Non Residential,B4A 2T6,538,ROCKY LAKE,DR
Non Residential,B2W 6J8,1436,COLE HARBOUR,RD
Non Residential,B2Y 1H9,133,PORTLAND,ST
Non Residential,B3J 1H9,5413,DOYLE,ST
Non Residential,B4C 3P4,8,DOWNSVIEW,DR
Non Residential,B3J 1B6,5269,MORRIS,ST
Non Residential,B3B 1T5,202,BROWNLOW,AVE
Non Residential,B3J 1K1,5121,SACKVILLE,ST
Non Residential,B3Z 3P5,8575,PEGGYS COVE,RD
Non Residential,B3J 0A8,5448,ROYAL ARTILLERY,CRT
Non Residential,B3B 1W2,201,BROWNLOW,AVE
Non Residential,B3H 1N7,5280,GREEN,ST
Non Residential,B3B 1K1,9,PETTIPAS,DR
Non Residential,B2Y 1L1,381,PORTLAND,ST
Non Residential,B2Y 4M8,2,ATLANTIC,ST
Non Residential,B3M 2X5,89,GORDON,AVE
Non Residential,B3Z 4R3,3650,HAMMONDS PLAINS,RD
Non Residential,B2X 2B3,28,GOUROK,AVE
Non Residential,B3M 3P1,122,KEARNEY LAKE,RD
Non Residential,B3S 1G8,58,MCQUADE LAKE,CRES
Non Residential,B3E 1L4,1160,WEST PORTERS LAKE,RD
Non Residential,B3K 4W6,2751,GLADSTONE,ST
Non Residential,B3A 2L8,34,OAKDALE,CRES
Non Residential,B4A 4C7,165,HAMMONDS PLAINS,RD
Non Residential,B3J 3S7,1449,BRENTON,ST
Non Residential,B4B 0P4,1,KINGSWOOD,DR
Non Residential,B4B 1R7,35,SALTO,DR
Non Residential,B3A 1J7,456,WINDMILL,RD
Non Residential,B4C 2S4,619,SACKVILLE,DR
Non Residential,B3A 4C5,6,PRIMROSE,ST
Non Residential,B3B 2Z3,85,GLORIA MCCLUSKEY,AVE
Non Residential,B3A 4T4,21,MICMAC,BLVD
Non Residential,B3S 1A1,350,HORSESHOE LAKE,DR
Non Residential,B0N 1V0,33,WYSE,RD
Non Residential,B3A 1N1,215,WYSE,RD
Non Residential,B2V 1E8,1187,COLE HARBOUR,RD
Non Residential,B3Z 4H3,5226,ST MARGARETS BAY,RD
Non Residential,B3Z 3H1,10327,PEGGYS COVE,RD
Non Residential,B3J 3J5,1949,UPPER WATER,ST
Non Residential,B3B 1G9,53,WRIGHT,AVE
Non Residential,B2Y 3R5,219,PLEASANT,ST
Non Residential,B3N 2R9,3460,DUTCH VILLAGE,RD
Non Residential,B3R 1W4,402,HERRING COVE,RD
Non Residential,B3V 1B1,1070,OLD SAMBRO,RD
Non Residential,B3B 0C6,33,LEMLAIR,ROW
Non Residential,B4B 1E2,2141,LARRY UTECK,BLVD
Non Residential,B3V 1B1,1150,OLD SAMBRO,RD
Non Residential,B3K 4E8,2889,AGRICOLA,ST
Non Residential,B2Y 3S4,355,PLEASANT,ST
Non Residential,B2T 1E9,1080,FALL RIVER,RD
Non Residential,B4A 2T4,621,ROCKY LAKE,DR
Non Residential,B3T 1A2,1308,ST MARGARETS BAY,RD
Non Residential,B0N 1K0,92,ELDERBANK BACK,RD
Non Residential,B2V 1E7,1082,COLE HARBOUR,RD
Non Residential,B0J 1P0,8,WEST JEDDORE,RD
Non Residential,B3L 4P8,6169,QUINPOOL,RD
Non Residential,B3K 4N2,2477,ROBIE,ST
Non Residential,B3L 4H7,3430,JOSEPH HOWE,DR
Non Residential,B3M 2K7,264,BEDFORD,HWY
Non Residential,B3K 4N8,2672,ROBIE,ST
Non Residential,B3Z 3J2,10283,PEGGYS COVE,RD
Non Residential,B4E 2R2,745,SACKVILLE,DR
Non Residential,B3H 2P6,1203,HOLLIS,ST
Non Residential,B3B 1C4,21,MCCURDY,AVE
Non Residential,B3J 1G8,5511,SPRING GARDEN,RD
Non Residential,B3B 1C8,46,BORDEN,AVE
Non Residential,B2Y 2R7,77,KING,ST
Non Residential,B3K 1Z7,5525,YOUNG,ST
Non Residential,B3G 1M4,1341,MAIN,RD
Non Residential,B2W 2M3,580,PORTLAND,ST
Non Residential,B3L 1A3,6164,QUINPOOL,RD
Non Residential,B3V 1M2,32,FAWSONS COVE,RD
Non Residential,B3Z 2M7,12494,PEGGYS COVE,RD
Non Residential,B3B 1X8,50,BROWN,AVE
Non Residential,B3K 2W4,2156,BARRINGTON,ST
Non Residential,B2S 2B1,122,BEDROCK,LANE
Non Residential,B3H 1T1,6070,SOUTH,ST
Non Residential,B3Z 2H8,5521,ST MARGARETS BAY,RD
Non Residential,B3T 1P7,1690,PROSPECT,RD
Non Residential,B0J 1N0,28,COLFORD,DR
Non Residential,B4A 1C6,1248,BEDFORD,HWY
Non Residential,B4E 1R7,760,SACKVILLE,DR
Non Residential,B0J 1Y0,64,RUSSELL,RD
Non Residential,B4C 4G7,299,STOKIL,DR
Non Residential,B3H 1J4,5365,INGLIS,ST
Non Residential,B0J 1T0,250,SHORE CLUB,RD
Non Residential,B3E 1H5,153,CANDLEWOOD,DR
Non Residential,B3J 2A2,1668,BARRINGTON,ST
Non Residential,B3M 2C9,3,DAKIN,DR
Non Residential,B3K 2L7,5211,DUFFUS,ST
Non Residential,B2Y 1J5,205,PORTLAND,ST
Non Residential,B3L 1A3,6128,QUINPOOL,RD
Non Residential,B3L 1A1,6088,QUINPOOL,RD
Non Residential,B2T 1K3,557,BARNES,DR
Non Residential,B2Y 1H8,104,PORTLAND,ST
Non Residential,B0J 1W0,1488,EAST JEDDORE,RD
Non Residential,B3B 1Z1,50,TROOP,AVE
Non Residential,B3B 1L8,11,MOSHER,DR
Non Residential,B2V 2T6,5,CUMBERLAND,DR
Non Residential,B3J 1G9,5689,SPRING GARDEN,RD
Non Residential,B0N 1Y0,5265,OLD GUYSBOROUGH,RD
Non Residential,B0J 2L0,134,EAGLET,LANE
Non Residential,B4C 2S5,668,SACKVILLE,DR
Non Residential,B3H 2W6,1143,SOUTH PARK,ST
Non Residential,B3S 1L9,60,OTTER LAKE,CRT
Non Residential,B3B 1N7,105,SIMMONDS,DR
Non Residential,B3J 1Y3,1245,BARRINGTON,ST
Non Residential,B3H 2E8,6117,JUBILEE,RD
Non Residential,B4B 0S2,55,CITATION,DR
Non Residential,B3J 2K4,1569,DRESDEN,ROW
Non Residential,B3K 2Y3,3695,BARRINGTON,ST
Non Residential,B3A 4C5,32,PRIMROSE,ST
Non Residential,B4A 2Z5,20,DUKE,ST
Non Residential,B3L 1A4,6299,QUINPOOL,RD
Non Residential,B0J 3A0,145,MAGNIFICENT,AVE
Non Residential,B3R 1V7,336,HERRING COVE,RD
Non Residential,B2R 1E3,1,LAKEWOOD,DR
Non Residential,B4B 1J6,334,BLUEWATER,RD
Non Residential,B3R 1Z5,937,HERRING COVE,RD
Non Residential,B3N 2S8,3531,DUTCH VILLAGE,RD
Non Residential,B3H 1A1,5906,CHAIN ROCK,DR
Non Residential,B4A 1C5,1355,BEDFORD,HWY
Non Residential,B0J 1Y0,3,FISHERMAN,RD
Non Residential,B3B 1X4,36,FRAZEE,AVE
Non Residential,B4A 0H1,54,DELLRIDGE,LANE
Non Residential,B4B 1R8,502,LUCASVILLE,RD
Non Residential,B2W 3E5,50,TACOMA,DR
Non Residential,B4A 2X9,1658,BEDFORD,HWY
Non Residential,B0J 1B0,8449,ST MARGARETS BAY,RD
Non Residential,B3K 2R6,6070,LADY HAMMOND,RD
Non Residential,B3V 1E9,160,WEST PENNANT,RD
